OBJECTID,FID_,Country,ISO,COUNTRYAFF,AFF_ISO,Country_1,ISO_2,ISO_3,SPI,BNeeds,FWellB,Opport,Nut_BMC,H2O_Sani,Shelter,Per_Safe,Know_Acc,Info_Acc,Health,Enviro_Q,Rght_Per,Free_Cho,Tol_Incl,Ed_Acc,Under_N,Food_Def,Mortal_M,Mortal_C,D_Infect,H2O_pipe,H2O_Rur,Sani_Acc,Hous_Aff,Elec_Acc,Elec_Qal,HH_Air_D,Homicide,Crim_Vio,Crim_Per,Pol_Terr,Traff_D,Literacy,Enroll_P,Enroll_S,Enroll_G,Phone,Inet,Free_Prs,Li_Ex_60,D_Non_C,Suicide,D_O_Air,H2O_Trt,Biodev,Gr_Gas,Rght_Pol,Free_Exp,Free_Asb,Pri_Prop,Free_Cho1,Free_Rel,Marr_E,Contrac,Corrupt,Tol_Imm,Tol_Gay,Disc_Min,Tol_Rel,Safe_Net,SchYrsT,SchYrsW,Ed_Ineq,Uni_Rank,Uni_RPct,FoodDefC,AdLitC,Ed_Sec_C,Ed_Sec_G,PhoneC,GGasC,UniRankB,UniRPctB,Shape__Area,Shape__Length
145,0,Angola,AO,Angola,AO,Angola,AO,AGO,40.73,44.37,48.76,29.05,69.33,27.63,28.49,52.04,60.59,47.64,46.1,40.7,28.28,27.26,46.7,13.96,14.2,90.0,476.978075626,156.9,423.439359292,14.84,28.1695604,51.5937037,0.192643474045,37.0,1.71,173.250411171,9.8,3.0,5.0,3.5,26.9,71.16,87.86,28.89872,0.64825,60.84389581,12.4,39.89,15.75343,741.1,16.988080461,109.307200182,0.0,53.54,995.89,10.0,5, ,15.00,0.335712617567,3.0,0.36,31.6,18.0,0.560513772686,0.126269559504,7.7,4.0,0.747554214184, ,5.31,0.35,0,0.0,90.0,71.16,28.89872,0.35175,60.84389581,995.89,0,0,1039038210422.48,5883734.32040747
238,0,Benin,BJ,Benin,BJ,Benin,BJ,BEN,51.69,52.79,57.15,45.13,78.9,38.7,30.52,63.02,63.85,59.05,52.81,52.88,71.33,48.78,52.88,7.53,7.5,48.0,404.943248546,99.5,414.444878697,17.72,72.1466618,19.7189055,0.363460974184,38.4,1.69,188.361888286,6.3,3.0,4.0,2.0,27.7,38.45,96.20,56.81196,0.70148,85.64432269,6.787702956,28.97,15.6568,563.2,14.143451699,96.107838908,0.0084,77.29,650.83,33.0,15, ,30.00,0.740450042148,4.0,0.22,25.3,36.0,0.780318534046,0.0991573566392,3.6,4.0,0.489990030085,0.15,2.73,0.45,0,0.0,48.0,38.45,56.81196,0.29852,85.64432269,650.83,0,0,96100415175.5117,1748005.52398437
115,0,Botswana,BW,Botswana,BW,Botswana,BW,BWA,64.44,70.62,66.78,55.92,75.6,77.62,53.89,75.37,87.89,71.95,43.32,63.99,69.06,76.44,57.49,20.68,24.1,177.0,128.948764391,43.6,638.954814894,74.39,92.2718988,63.432748,0.522028551937,53.24,3.30,93.162251869,14.8,3.0,2.0,1.0,23.6,88.22,92.02,81.37176,1.05706,169.0030004,27.5,22.91,17.22087,733.9,27.106629568,66.736375447,0.95,93.75,456.98,28.0,12,0.63,70.00,0.836790769137,4.0,0.05,74.9,60.0,0.656885078208,0.197565942031,5.1,4.0,0.764612562128,0.15,8.71,0.32,0,0.0,177.0,88.22,81.37176,0.05706,100.0,456.98,0,0,499813941661.506,3393110.87005716
202,0,Burkina Faso,BF,Burkina Faso,BF,Burkina Faso,BF,BFA,49.75,49.69,56.36,43.19,71.48,37.8,28.49,60.98,54.85,60.92,55.59,54.07,63.04,47.43,55.64,6.65,20.7,167.0,370.62052118,88.6,500.98518841,7.99,75.8308342,19.7318113,0.407077614439,13.1,1.69,158.665818162,0.7,4.0,3.0,3.0,30.0,37.75,69.76,33.66666,0.91912,80.64303328,11.38764617,22.66,15.38898,484.2,12.510811212,86.23249596,0.0,88.05,814.89,23.0,14,0.70,30.00,0.624703490622,4.0,0.32,42.2,42.0,0.779514711791,0.093165388232,4.7,3.0,0.755976666595, ,1.86,0.39,0,0.0,167.0,37.75,33.66666,0.08088,80.64303328,814.89,0,0,226637845435.063,2682083.23866934
116,0,Burundi,BI,Burundi,BI,Burundi,BI,BDI,,,56.12,29.85,,45.69,25.18,60.29,79.55,35.07,55.55,54.29,28.49,45.25,34.41,11.24,,,711.597366955,81.7,474.04942161,6.99,73.7657629,48.0129097,0.303110644757,6.5,2.12,174.185936339,4.0,3.5,4.0,3.0,21.3,85.50,94.68,42.48007,0.91072,46.2209572,4.866224464,54.1,16.51761,543.1,13.052934082,95.236499328,0.0,64.71,404.14,5.0,6, ,20.00,0.427258309223,3.0,0.1,52.8,20.0,0.576450497379,0.0346666622497,8.1,3.0,0.563049301483,0.04,4.23,0.37,0,0.0,,85.50,42.48007,0.08928,46.2209572,404.14,0,0,22291164169.6852,783465.32044404
233,0,Cameroon,CM,Cameroon,CM,Cameroon,CM,CMR,47.83,51.72,55.84,35.91,74.93,37.77,39.5,54.68,78.44,53.49,54.45,36.99,38.25,46.47,41.72,17.22,9.9,63.0,596.443881871,87.9,534.109922591,16.75,52.7122866,45.8016112,0.362403608123,53.7,2.13,154.553318862,2.7,4.0,4.0,3.5,27.6,74.99,95.55,58.07813,0.85561,71.84542948,20.68014766,40.53,16.47883,543.4,14.888496662,123.081950005,0.0,77.33,1404.66,9.0,7,0.53,25.00,0.694026746834,4.0,0.26,38.7,26.0,0.62587126891,0.0503707780741,8.5,4.0,0.656102772183,0.12,7.17,0.35,0,0.0,63.0,74.99,58.07813,0.14439,71.84542948,1404.66,0,0,382113825534.399,4234513.85216122
234,0,Central African Republic,CF,Central African Republic,CF,Central African Republic,CF,CAF,28.38,27.82,35.41,21.9,41.62,26.67,6.96,36.05,37.03,35.61,37.16,31.83,20.55,35.9,18.75,12.39,47.7,380.0,882.065658672,130.1,897.234946024,1.61,54.3507125,21.792091,0.210248680468,10.8, ,296.496739611,13.2,5.0,5.0,5.0,32.4,36.75,70.84,17.37801,0.51273,25.86868182,4.563264352,33.6,16.05839,966.5,21.974786068,163.491687272,0.0,90.87,11031.69,4.0,4, ,10.00,0.598755030281,4.0,0.42,37.8,20.0,0.577193865177,0.0520733197538,9.3,2.0,0.286769582692,0.06,4.27,0.35,0,0.0,380.0,36.75,17.37801,0.48727,25.86868182,1500.00,0,0,509005806764.236,4207019.42772363
239,0,Chad,TD,Chad,TD,Chad,TD,TCD,35.69,36.72,44.62,25.72,52.61,20.34,22.68,51.26,40.63,37.5,56.3,44.07,27.81,27.83,42.08,5.15,34.4,261.0,856.248311762,138.7,595.061690546,6.42,44.750936,12.0801433,0.359901492625,6.4,1.85,197.903532535,9.2,4.0,5.0,3.0,24.1,40.02,79.12,22.40279,0.45736,40.17306812,2.700000001,40.59,15.81749,517.6,10.824072524,109.97983627,0.0,80.62,1122.71,4.0,6, ,20.00,0.5121755653,4.0,0.45,19.4,20.0,0.686657123495,0.0689395763462,8.5,4.0,0.611908094283, ,1.63,0.42,0,0.0,261.0,40.02,22.40279,0.54264,40.17306812,1122.71,0,0,1069626753939.69,5195628.30578604
219,0,Ethiopia,ET,Ethiopia,ET,Ethiopia,ET,ETH,45.29,52.19,54.26,29.42,70.56,28.86,42.95,66.38,65.75,39.06,60.04,52.18,20.12,53.14,36.49,7.94,32.0,236.0,352.699291141,59.2,351.57128732,12.11,48.6419885,28.0213816,0.507427878915,26.56256,3.36,138.613721356,8.0,2.0,3.0,3.5,25.3,49.03,86.91,37.70339,0.90301,42.76402881,11.6,45.13,17.76025,474.1,12.68726046,70.838694228,0.0,83.52,1037.29,4.0,2,0.26,30.00,0.686926614751,3.0,0.23,58.5,34.0,0.509303815988,0.015823826367,8.6,3.0,0.718718730984, ,3.75,0.44,0,0.0,236.0,49.03,37.70339,0.09699,42.76402881,1037.29,0,0,931257368245.975,4664615.18242973
154,0,Gabon,GA,Gabon,GA,Gabon,GA,GAB,,69.4,,44.74,87.69,55.99,61.51,72.41,,67.34,58.89,64.07,42.7,49.98,56.62,29.67,5.0,18.0,290.693240066,50.8,312.668096741,64.54,66.6762996,41.858578,0.298200680208,89.3,2.88,40.541845374,9.4,2.0,3.0,2.0,22.9,83.24, ,,,161.1213232,23.5,32.2,18.22817,518.1,13.898132602,82.507787738,0.0,89.37,221.16,8.0,9, ,40.00,0.686732712544,4.0,0.22,37.8,35.0,0.616320373352,0.0565319437137,4.0,4.0,0.770314982748,0.45,10.16,0.23,0,0.0,18.0,83.24,,,100.0,221.16,0,0,213572004913.361,3255841.47602796
