UNIQUE_ID,YEAR,COUNTRY,REGION,CONTINENT,HAPPINESS_SCORE,HAPPINESS_RANK,HAPPINESS_RANK_DECILE,HAPPINESS_RANK_QUARTILE,ECONOMY_GDP_PER_CAPITA_SCORE,ECONOMY_GDP_PER_CAPITA_RANK,ECONOMY_GDP_PER_CAPITA_RANK_DECILE,ECONOMY_GDP_PER_CAPITA_RANK_QUARTILE,ECONOMY_GDP_PER_CAPITA_PCT,FAMILY_SCORE,FAMILY_RANK,FAMILY_RANK_DECILE,FAMILY_RANK_QUARTILE,FAMILY_PCT,HEALTH_LIFE_EXPECTANCY_SCORE,HEALTH_LIFE_EXPECTANCY_RANK,HEALTH_LIFE_EXPECTANCY_RANK_DECILE,HEALTH_LIFE_EXPECTANCY_RANK_QUARTILE,HEALTH_LIFE_EXPECTANCY_PCT,FREEDOM_SCORE,FREEDOM_RANK,FREEDOM_RANK_DECILE,FREEDOM_RANK_QUARTILE,FREEDOM_PCT,GENEROSITY_SCORE,GENEROSITY_RANK,GENEROSITY_RANK_DECILE,GENEROSITY_RANK_QUARTILE,GENEROSITY_PCT,TRUST_GOVERNMENT_CORRUPTION_SCORE,TRUST_GOVERNMENT_CORRUPTION_RANK,TRUST_GOVERNMENT_CORRUPTION_RANK_DECILE,TRUST_GOVERNMENT_CORRUPTION_RANK_QUARTILE,TRUST_GOVERNMENT_CORRUPTION_PCT
Rwanda_2015,2015,Rwanda,Africa,Africa,3.465,154,10,4,0.22208,145,10,4,0.07946811803647248,0.7737,128,9,4,0.2768573524934942,0.42864,121,8,4,0.15338262628363608,0.59201,30,2,1,0.21184222226208313,0.22628,71,5,2,0.08097102606061507,0.55191,1,1,1,0.1974930037196543
Qatar_2015,2015,Qatar,"Arab States",Asia,6.611,28,2,1,1.69042,1,1,1,0.33445450498542323,1.0786,67,5,2,0.2134041473358566,0.79733,42,3,2,0.15775405685797178,0.6404,10,1,1,0.12670499548966765,0.32573,36,3,1,0.06444662422744962,0.52208,2,1,1,0.1032950427194962
Singapore_2015,2015,Singapore,"Asia & Pacific",Asia,6.798,24,2,1,1.52186,4,1,1,0.3097624966558001,1.02,82,6,3,0.20761288157909616,1.02525,1,1,1,0.20868147265438072,0.54252,42,3,2,0.11042562729862943,0.31105,39,3,1,0.06331175251702455,0.4921,3,1,1,0.10016304021051924
Denmark_2015,2015,Denmark,Europe,Europe,7.527,3,1,1,1.32548,19,2,1,0.2632553140419051,1.36058,3,1,1,0.2702265676359102,0.87464,30,2,1,0.17371339245434958,0.64938,7,1,1,0.12897421711074827,0.34139,28,2,1,0.06780391732174684,0.48357,4,1,1,0.09604247232227174
Sweden_2015,2015,Sweden,Europe,Europe,7.364,8,1,1,1.33171,15,1,1,0.26672555968422684,1.28907,17,2,1,0.25818528422363357,0.91087,15,1,1,0.1824363549037546,0.6598,4,1,1,0.13215003637299236,0.36262,24,2,1,0.07262844221880124,0.43844,5,1,1,0.08781427994034008
"New Zealand_2015",2015,"New Zealand","Asia & Pacific",Oceania,7.286,9,1,1,1.25018,29,2,1,0.2489530685577782,1.31967,8,1,1,0.262790866052834,0.90837,17,2,1,0.1808871540722731,0.63938,11,1,1,0.127322151030172,0.47501,8,1,1,0.09459053770057037,0.42922,6,1,1,0.08547219866166542
Switzerland_2015,2015,Switzerland,Europe,Europe,7.587,1,1,1,1.39651,7,1,1,0.27546641251002246,1.34951,4,1,1,0.26619549052233904,0.94143,9,1,1,0.18570030738550572,0.66557,2,1,1,0.13128598091934607,0.29678,42,3,2,0.0585408761208806,0.41978,7,1,1,0.08280304932478981
Finland_2015,2015,Finland,Europe,Europe,7.406,6,1,1,1.29025,24,2,1,0.269563017254532,1.31826,9,1,1,0.2754149555084331,0.88911,24,2,1,0.18575562291904588,0.64169,8,1,1,0.13406386695800876,0.23351,64,4,2,0.0487856334635679,0.41372,8,1,1,0.08643566713341373
"United Arab Emirates_2015",2015,"United Arab Emirates","Arab States",Asia,6.901,20,2,1,1.42727,6,1,1,0.3067043311297643,1.12575,56,4,2,0.2419110405432552,0.80925,41,3,2,0.1738987504513029,0.64157,9,1,1,0.13786619321466875,0.26428,52,4,2,0.05679080683866531,0.38583,9,1,1,0.08291053758418877
Georgia_2015,2015,Georgia,Europe,Europe,4.297,130,9,4,0.7419,101,7,3,0.274616075248982,0.38562,152,10,4,0.14273816761984592,0.72926,67,5,2,0.26993734914283146,0.40577,94,6,3,0.1501967406269163,0.05547,153,10,4,0.02053235396333312,0.38331,10,1,1,0.14188311268545384
